epoch,loss,accuracy,val_accuracy,val_loss
0,0.973983526,0.721371293,0.805235744,0.566527426
1,0.48461774,0.839155912,0.870370388,0.386106312
2,0.399315149,0.86356622,0.875345469,0.359390825
3,0.354245871,0.877434194,0.888059676,0.31585896
4,0.322506934,0.887308002,0.902570486,0.27825433
5,0.300880194,0.894764781,0.898977339,0.284689695
6,0.278493315,0.900953114,0.903399646,0.267768443
7,0.266907483,0.906078577,0.909480393,0.252607107
8,0.255795985,0.909078419,0.91846323,0.22712113
9,0.244192898,0.912284017,0.909894943,0.239632159
10,0.231930584,0.917529464,0.92426753,0.202005967
11,0.230311245,0.917598069,0.92551136,0.210162252
12,0.217938066,0.921489298,0.917910457,0.230584159
13,0.213555798,0.923203528,0.929519057,0.197495759
14,0.210403606,0.923923492,0.92509675,0.205110952
15,0.202238142,0.927300453,0.931730211,0.195090786
16,0.1979056,0.928483248,0.930762827,0.188446179
17,0.192927107,0.930351734,0.923576534,0.206194744
18,0.190680459,0.9300946,0.927307904,0.205972701
19,0.187122628,0.931997418,0.930348277,0.184662476
20,0.180045575,0.935048699,0.936567187,0.180343553
21,0.178737655,0.935734391,0.937258124,0.185527071
22,0.180356339,0.934500158,0.939331114,0.167775542
23,0.173516393,0.937294304,0.944720864,0.157426342
24,0.169062197,0.938991368,0.944168031,0.166398615
25,0.167720094,0.939282775,0.934494197,0.191963658
26,0.165884629,0.939934194,0.934079587,0.190004155
27,0.163333461,0.941322684,0.940022111,0.167604715
28,0.159753099,0.941648364,0.943753481,0.158483103
