,precision,recall,f1-score,support
Apple___Apple_scab,0.98,0.98,0.98,100.0
Apple___Black_rot,1.0,0.99,0.9949748743718593,100.0
Apple___Cedar_apple_rust,1.0,1.0,1.0,100.0
Apple___healthy,0.98,0.98989898989899,0.9849246231155779,99.0
Bittergourd__Downy_Mildew,0.979381443298969,0.95,0.9644670050761421,100.0
Bittergourd__Healthy,0.7735849056603774,0.82,0.7961165048543689,100.0
Bittergourd__Jassid,1.0,0.98,0.98989898989899,100.0
Bittergourd__LeafSpot,0.99,0.99,0.99,100.0
Bittergourd__Nitrogen_Deficiency,0.8529411764705882,0.58,0.6904761904761905,100.0
Bittergourd__Nitrogen_and_Magnesium_Deficiency,0.6888888888888889,0.9393939393939394,0.7948717948717948,99.0
Bittergourd__Nitrogen_and_Potassium_Deficiency,0.9574468085106383,0.9,0.9278350515463918,100.0
Bittergourd__Potassium_Deficiency,1.0,1.0,1.0,100.0
Bittergourd__Potassium_and_Magnesium_Deficiency,0.9900990099009901,1.0,0.9950248756218906,100.0
Blueberry___healthy,1.0,0.99,0.9949748743718593,100.0
Cherry_(including_sour)___Powdery_mildew,1.0,1.0,1.0,100.0
Cherry_(including_sour)___healthy,1.0,1.0,1.0,100.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.9405940594059405,0.95,0.945273631840796,100.0
Corn_(maize)___Common_rust_,0.98,0.98,0.98,100.0
Corn_(maize)___Northern_Leaf_Blight,0.93,0.93,0.93,100.0
Corn_(maize)___healthy,1.0,0.98,0.98989898989899,100.0
Eggplant__Aphids,0.7723577235772358,0.95,0.852017937219731,100.0
Eggplant__Cercospora__Leaf__Spot,0.9693877551020408,0.95,0.9595959595959596,100.0
Eggplant__Flea__Beetles,0.9431818181818182,0.83,0.8829787234042553,100.0
Eggplant__Healthy,1.0,1.0,1.0,99.0
Eggplant__Leaf__Wilt,1.0,0.98989898989899,0.9949238578680203,99.0
Eggplant__Phytophthora__Blight,0.9900990099009901,1.0,0.9950248756218906,100.0
Eggplant__Powdery__Mildew,0.967032967032967,0.88,0.9214659685863874,100.0
Eggplant__Tobacco__Mosaic__Virus,0.9801980198019802,0.99,0.9850746268656716,100.0
Grape___Black_rot,0.98,0.98,0.98,100.0
Grape___Esca_(Black_Measles),0.98,0.98,0.98,100.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.9900990099009901,1.0,0.9950248756218906,100.0
Grape___healthy,1.0,1.0,1.0,100.0
Lettuce__Bacterial,1.0,1.0,1.0,100.0
Lettuce__Fungal,0.9900990099009901,1.0,0.9950248756218906,100.0
Lettuce__Healthy,1.0,1.0,1.0,100.0
Orange___Haunglongbing_(Citrus_greening),1.0,1.0,1.0,100.0
Papaya_Anthracanose_Diease,0.9900990099009901,1.0,0.9950248756218906,100.0
Papaya_Black_Spot_Diease,1.0,0.99,0.9949748743718593,100.0
Papaya_Healthy,0.970873786407767,1.0,0.9852216748768473,100.0
Papaya_Powdery_Mildery_Diease,1.0,1.0,1.0,100.0
Papaya_Ring_spot_Diease,1.0,0.97,0.9847715736040609,100.0
Papaya_phytophthora_Disease,1.0,1.0,1.0,100.0
Peach___Bacterial_spot,0.9611650485436893,0.99,0.9753694581280788,100.0
Peach___healthy,1.0,0.96,0.9795918367346939,100.0
"Pepper,_bell___Bacterial_spot",0.970873786407767,1.0,0.9852216748768473,100.0
"Pepper,_bell___healthy",0.99,0.99,0.99,100.0
Pigeonpea__Healthy,1.0,1.0,1.0,100.0
Pigeonpea__Leaf__Spot,0.845360824742268,0.82,0.8324873096446701,100.0
Pigeonpea__Leaf__webber,0.98,0.98,0.98,100.0
Pigeonpea__Sterilic__mosaic,0.8076923076923077,0.84,0.8235294117647058,100.0
Potato___Early_blight,1.0,1.0,1.0,100.0
Potato___Late_blight,1.0,0.97,0.9847715736040609,100.0
Potato___healthy,0.9803921568627451,1.0,0.9900990099009901,100.0
Raspberry___healthy,1.0,1.0,1.0,100.0
Soybean___healthy,0.9900990099009901,1.0,0.9950248756218906,100.0
Squash___Powdery_mildew,1.0,1.0,1.0,100.0
Strawberry___Leaf_scorch,1.0,0.99,0.9949748743718593,100.0
Strawberry___healthy,1.0,1.0,1.0,100.0
Sweet__Pumpkin__Downy__Mildew__Disease,0.9900990099009901,1.0,0.9950248756218906,100.0
Sweet__Pumpkin__Healthy,1.0,1.0,1.0,100.0
Sweet__Pumpkin__Leaf__Curl__Disease,0.9900990099009901,1.0,0.9950248756218906,100.0
Sweet__Pumpkin__Mosaic__Disease,1.0,0.98,0.98989898989899,100.0
Sweet__Pumpkin__Red__Beetle,0.99,0.99,0.99,100.0
Tomato___Bacterial_spot,0.9158878504672897,0.98,0.9468599033816425,100.0
Tomato___Early_blight,0.9550561797752809,0.85,0.8994708994708994,100.0
Tomato___Late_blight,0.9494949494949495,0.94,0.9447236180904522,100.0
Tomato___Leaf_Mold,0.9411764705882353,0.96,0.9504950495049505,100.0
Tomato___Septoria_leaf_spot,0.9393939393939394,0.93,0.9346733668341709,100.0
Tomato___Spider_mites Two-spotted_spider_mite,0.9489795918367347,0.93,0.9393939393939394,100.0
Tomato___Target_Spot,0.8679245283018868,0.92,0.8932038834951457,100.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9795918367346939,0.96,0.9696969696969697,100.0
Tomato___Tomato_mosaic_virus,0.9896907216494846,0.96,0.9746192893401016,100.0
Tomato___healthy,0.9313725490196079,0.95,0.9405940594059405,100.0
accuracy,0.9636787280701754,0.9636787280701754,0.9636787280701754,0.9636787280701754
macro avg,0.9654892352473701,0.9636875605368757,0.9636248198524656,7296.0
weighted avg,0.9655156974255636,0.9636787280701754,0.9636357544746632,7296.0
