,precision,recall,f1-score,support
Apple___Apple_scab,1,0.99,0.994974874,100
Apple___Black_rot,0.99,0.99,0.99,100
Apple___Cedar_apple_rust,0.99009901,1,0.995024876,100
Apple___healthy,0.99009901,1,0.995024876,100
Bittergourd__Downy_Mildew,0.914285714,0.96,0.936585366,100
Bittergourd__Healthy,0.863636364,0.76,0.808510638,100
Bittergourd__Jassid,0.980392157,1,0.99009901,100
Bittergourd__LeafSpot,0.941747573,0.97,0.955665025,100
Bittergourd__Nitrogen_Deficiency,0.769230769,0.7,0.732984293,100
Bittergourd__Nitrogen_and_Magnesium_Deficiency,0.785046729,0.84,0.811594203,100
Bittergourd__Nitrogen_and_Potassium_Deficiency,0.939393939,0.93,0.934673367,100
Bittergourd__Potassium_Deficiency,0.99,0.99,0.99,100
Bittergourd__Potassium_and_Magnesium_Deficiency,0.952380952,1,0.975609756,100
Blueberry___healthy,1,0.99,0.994974874,100
Cherry_(including_sour)___Powdery_mildew,0.980392157,1,0.99009901,100
Cherry_(including_sour)___healthy,1,1,1,100
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.959183673,0.94,0.949494949,100
Corn_(maize)___Common_rust_,0.933333333,0.98,0.956097561,100
Corn_(maize)___Northern_Leaf_Blight,0.926315789,0.88,0.902564103,100
Corn_(maize)___healthy,0.98019802,0.99,0.985074627,100
Eggplant__Aphids,0.854545455,0.94,0.895238095,100
Eggplant__Cercospora__Leaf__Spot,0.95049505,0.96,0.955223881,100
Eggplant__Flea__Beetles,0.967391304,0.89,0.927083333,100
Eggplant__Healthy,1,1,1,100
Eggplant__Leaf__Wilt,0.99009901,1,0.995024876,100
Eggplant__Phytophthora__Blight,1,0.99,0.994974874,100
Eggplant__Powdery__Mildew,0.927083333,0.89,0.908163265,100
Eggplant__Tobacco__Mosaic__Virus,0.97029703,0.98,0.975124378,100
Grape___Black_rot,0.989795918,0.97,0.97979798,100
Grape___Esca_(Black_Measles),0.98019802,0.99,0.985074627,100
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.980392157,1,0.99009901,100
Grape___healthy,0.99009901,1,0.995024876,100
Lettuce__Bacterial,1,1,1,100
Lettuce__Fungal,1,1,1,100
Lettuce__Healthy,1,1,1,100
Orange___Haunglongbing_(Citrus_greening),1,1,1,100
Papaya_Anthracanose_Diease,1,1,1,100
Papaya_Black_Spot_Diease,1,1,1,100
Papaya_Healthy,0.99009901,1,0.995024876,100
Papaya_Powdery_Mildery_Diease,1,1,1,100
Papaya_Ring_spot_Diease,1,0.99,0.994974874,100
Papaya_phytophthora_Disease,1,1,1,100
Peach___Bacterial_spot,0.980392157,1,0.99009901,100
Peach___healthy,1,0.99,0.994974874,100
"Pepper,_bell___Bacterial_spot",0.98,0.98,0.98,100
"Pepper,_bell___healthy",1,0.99,0.994974874,100
Pigeonpea__Healthy,1,1,1,100
Pigeonpea__Leaf__Spot,0.860215054,0.8,0.829015544,100
Pigeonpea__Leaf__webber,0.98,0.98,0.98,100
Pigeonpea__Sterilic__mosaic,0.805555556,0.87,0.836538462,100
Potato___Early_blight,0.961538462,1,0.980392157,100
Potato___Late_blight,0.979381443,0.95,0.964467005,100
Potato___healthy,1,1,1,100
Raspberry___healthy,1,1,1,100
Soybean___healthy,0.99009901,1,0.995024876,100
Squash___Powdery_mildew,1,0.99,0.994974874,100
Strawberry___Leaf_scorch,1,0.99,0.994974874,100
Strawberry___healthy,1,1,1,100
Sweet__Pumpkin__Downy__Mildew__Disease,1,0.99,0.994974874,100
Sweet__Pumpkin__Healthy,1,1,1,100
Sweet__Pumpkin__Leaf__Curl__Disease,0.960784314,0.98,0.97029703,100
Sweet__Pumpkin__Mosaic__Disease,1,0.96,0.979591837,100
Sweet__Pumpkin__Red__Beetle,0.980392157,1,0.99009901,100
Tomato___Bacterial_spot,0.941176471,0.96,0.95049505,100
Tomato___Early_blight,0.941860465,0.81,0.870967742,100
Tomato___Late_blight,0.910891089,0.92,0.915422886,100
Tomato___Leaf_Mold,0.914285714,0.96,0.936585366,100
Tomato___Septoria_leaf_spot,0.915789474,0.87,0.892307692,100
Tomato___Spider_mites Two-spotted_spider_mite,0.941176471,0.96,0.95049505,100
Tomato___Target_Spot,0.878504673,0.94,0.90821256,100
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.97979798,0.97,0.974874372,100
Tomato___Tomato_mosaic_virus,0.989690722,0.96,0.974619289,100
Tomato___healthy,0.941747573,0.97,0.955665025,100
accuracy,0.963013699,0.963013699,0.963013699,0.963013699
macro avg,0.963143963,0.963013699,0.962738694,7300
weighted avg,0.963143963,0.963013699,0.962738694,7300
