,precision,recall,f1-score,support
Apple___Apple_scab,1.0,1.0,1.0,100.0
Apple___Black_rot,1.0,1.0,1.0,100.0
Apple___Cedar_apple_rust,1.0,1.0,1.0,100.0
Apple___healthy,0.99,0.99,0.99,100.0
Bittergourd__Downy_Mildew,0.970873786407767,1.0,0.9852216748768473,100.0
Bittergourd__Healthy,0.8811881188118812,0.89,0.8855721393034826,100.0
Bittergourd__Jassid,0.99,0.99,0.99,100.0
Bittergourd__LeafSpot,1.0,0.98,0.98989898989899,100.0
Bittergourd__Nitrogen_Deficiency,0.8367346938775511,0.82,0.8282828282828283,100.0
Bittergourd__Nitrogen_and_Magnesium_Deficiency,0.9052631578947369,0.86,0.882051282051282,100.0
Bittergourd__Nitrogen_and_Potassium_Deficiency,0.941747572815534,0.97,0.9556650246305419,100.0
Bittergourd__Potassium_Deficiency,1.0,0.99,0.9949748743718593,100.0
Bittergourd__Potassium_and_Magnesium_Deficiency,0.970873786407767,1.0,0.9852216748768473,100.0
Blueberry___healthy,1.0,1.0,1.0,100.0
Cherry_(including_sour)___Powdery_mildew,1.0,1.0,1.0,100.0
Cherry_(including_sour)___healthy,1.0,1.0,1.0,100.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.9514563106796117,0.98,0.9655172413793104,100.0
Corn_(maize)___Common_rust_,0.98989898989899,0.98,0.9849246231155779,100.0
Corn_(maize)___Northern_Leaf_Blight,0.9587628865979382,0.93,0.9441624365482234,100.0
Corn_(maize)___healthy,0.98989898989899,0.98,0.9849246231155779,100.0
Eggplant__Aphids,0.9587628865979382,0.93,0.9441624365482234,100.0
Eggplant__Cercospora__Leaf__Spot,0.9702970297029703,0.98,0.9751243781094527,100.0
Eggplant__Flea__Beetles,0.96,0.96,0.96,100.0
Eggplant__Healthy,0.9803921568627451,1.0,0.9900990099009901,100.0
Eggplant__Leaf__Wilt,0.99,0.99,0.99,100.0
Eggplant__Phytophthora__Blight,1.0,0.99,0.9949748743718593,100.0
Eggplant__Powdery__Mildew,0.979381443298969,0.95,0.9644670050761421,100.0
Eggplant__Tobacco__Mosaic__Virus,0.9615384615384616,1.0,0.9803921568627451,100.0
Grape___Black_rot,1.0,0.98,0.98989898989899,100.0
Grape___Esca_(Black_Measles),0.9803921568627451,1.0,0.9900990099009901,100.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,1.0,1.0,100.0
Grape___healthy,1.0,1.0,1.0,100.0
Lettuce__Bacterial,1.0,1.0,1.0,100.0
Lettuce__Fungal,1.0,1.0,1.0,100.0
Lettuce__Healthy,1.0,1.0,1.0,100.0
